id,carat,cut,color,clarity,depth,table,price,x,y,z
41010,0.55,Premium,E,SI2,61.9,58.0,1185,5.2,5.24,3.23
11721,0.34,Ideal,G,VS2,62.2,57.0,596,4.44,4.47,2.77
18458,1.04,Ideal,F,VS2,61.1,57.0,7508,6.52,6.54,3.99
4988,0.75,Ideal,G,VVS2,62.0,56.0,3740,5.79,5.85,3.61
40522,0.51,Good,D,SI2,64.2,56.0,1146,5.02,5.05,3.23
8251,1.24,Fair,F,SI2,64.9,60.0,4375,6.7,6.63,4.32
21317,1.5,Premium,I,VS2,61.1,60.0,9471,7.33,7.36,4.49
17328,1.09,Premium,G,VS1,62.5,59.0,6951,6.57,6.54,4.1
41522,0.54,Ideal,F,SI2,60.8,56.0,1235,5.26,5.34,3.22
25668,1.11,Ideal,D,VVS1,62.1,55.0,14584,6.63,6.64,4.12
12563,1.52,Ideal,H,SI2,59.9,55.0,5277,7.54,7.45,4.49
35892,0.32,Ideal,G,IF,61.3,56.0,918,4.4,4.44,2.71
51243,0.7,Premium,F,SI1,61.5,57.0,2354,5.74,5.68,3.51
42083,0.53,Premium,G,SI1,61.3,58.0,1273,5.22,5.19,3.19
27447,2.01,Premium,G,SI1,61.8,60.0,18077,7.99,8.04,4.95
46980,0.23,Very Good,F,VVS2,62.0,58.0,530,3.89,3.92,2.42
28695,0.43,Ideal,J,VS1,62.1,55.0,679,4.84,4.86,3.01
45203,0.51,Premium,E,VS2,61.0,60.0,1656,5.12,5.17,3.14
2780,0.74,Ideal,H,VS1,61.0,55.0,3254,5.86,5.88,3.58
35402,0.35,Ideal,E,VS1,62.0,55.0,900,4.54,4.58,2.82
32330,0.3,Ideal,E,VVS2,61.4,57.0,789,4.32,4.34,2.66
1549,0.89,Good,H,SI2,63.3,59.0,3002,6.04,6.09,3.84
51106,0.72,Very Good,I,VS2,63.9,58.0,2337,5.65,5.68,3.62
9520,1.14,Very Good,H,SI2,63.3,57.0,4615,6.6,6.63,4.19
16487,1.29,Premium,H,SI1,61.6,57.0,6588,7.02,6.97,4.31
20977,1.53,Ideal,I,VS2,61.7,57.0,9189,7.36,7.41,4.56
38550,0.6,Fair,E,SI2,66.5,56.0,1033,5.31,5.21,3.5
51501,0.77,Ideal,I,SI1,61.7,56.0,2382,5.89,5.91,3.64
23130,1.5,Fair,F,SI1,64.6,60.0,11154,7.18,7.1,4.61
39643,0.4,Ideal,F,VVS2,62.0,56.0,1085,4.76,4.73,2.94
3263,1.02,Very Good,J,SI2,63.1,58.0,3359,6.38,6.34,4.01
25291,1.51,Premium,F,VS2,62.0,59.0,13945,7.37,7.18,4.51
512,0.9,Good,I,SI1,63.8,57.0,2823,6.06,6.13,3.89
14019,1.01,Premium,G,VS2,61.1,60.0,5701,6.46,6.37,3.92
17897,1.01,Very Good,G,VVS2,59.7,59.0,7226,6.5,6.56,3.9
51996,0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48
37355,0.4,Premium,F,VS1,61.9,59.0,982,4.67,4.7,2.9
43526,0.59,Ideal,D,SI2,59.1,57.0,1425,5.52,5.48,3.25
21206,1.5,Ideal,F,SI1,62.7,56.0,9347,7.25,7.35,4.58
27404,2.24,Ideal,F,SI2,60.3,59.0,17989,8.47,8.5,5.12
14569,1.04,Ideal,F,SI1,61.3,56.0,5882,6.55,6.5,4.0
25980,2.22,Premium,I,SI2,62.9,59.0,15184,8.24,8.2,5.17
2778,0.83,Ideal,F,SI1,62.1,55.0,3254,6.0,6.05,3.74
18294,1.5,Good,G,SI1,58.4,65.0,7434,7.45,7.41,4.34
6053,0.32,Ideal,I,VS2,61.3,56.0,576,4.43,4.38,2.7
25460,1.55,Ideal,F,SI1,61.9,55.0,14220,7.47,7.42,4.61
49685,0.72,Premium,H,SI2,61.8,56.0,2144,5.79,5.73,3.56
30207,0.38,Ideal,G,SI1,61.0,55.0,723,4.69,4.73,2.87
27007,2.01,Very Good,E,SI2,60.6,59.0,17118,8.11,8.25,4.96
39067,0.4,Ideal,G,VVS1,61.5,57.0,1059,4.74,4.79,2.93
13659,1.01,Ideal,E,SI1,61.6,59.0,5590,6.43,6.4,3.95
43553,0.5,Ideal,H,VS1,61.7,59.0,1429,5.07,5.14,3.15
16997,1.01,Very Good,E,VS2,63.2,57.0,6787,6.38,6.35,4.02
51332,0.7,Very Good,F,VS2,61.6,58.0,2362,5.7,5.72,3.52
19647,1.52,Premium,J,VS1,62.4,59.0,8258,7.36,7.31,4.58
35433,0.32,Ideal,E,VS2,62.1,54.0,900,4.42,4.4,2.74
6553,1.01,Premium,I,SI2,60.5,60.0,4072,6.52,6.5,3.94
41891,0.41,Ideal,G,IF,61.7,56.0,1259,4.78,4.81,2.96
9158,0.9,Very Good,G,VS1,62.3,60.0,4540,6.0,6.08,3.76
27641,2.09,Premium,H,SI1,61.1,56.0,18559,8.3,8.23,5.05
7514,0.9,Good,F,SI1,61.8,63.0,4241,6.21,6.18,3.83
30069,0.32,Ideal,G,VS2,60.3,57.0,720,4.46,4.43,2.68
47802,0.55,Ideal,F,VS1,61.4,55.0,1901,5.28,5.24,3.23
9717,0.3,Ideal,H,VVS2,62.4,56.0,590,4.28,4.31,2.68
50201,0.9,Good,G,I1,63.6,61.0,2226,6.03,6.07,3.85
50779,0.54,Ideal,D,VVS2,61.2,55.0,2302,5.25,5.31,3.23
7891,1.21,Very Good,J,SI1,62.7,57.0,4312,6.72,6.77,4.23
22236,1.5,Good,H,VS2,63.6,58.0,10291,7.22,7.27,4.61
44379,0.52,Ideal,H,VVS2,61.8,57.0,1581,5.16,5.19,3.2
10858,1.11,Fair,E,SI2,64.7,61.0,4873,6.42,6.39,4.14
47101,0.51,Ideal,D,VS1,60.7,57.0,1826,5.18,5.23,3.16
5758,1.04,Premium,G,SI2,60.6,59.0,3896,6.6,6.56,3.99
20406,1.51,Premium,J,VVS2,62.5,59.0,8770,7.29,7.34,4.57
32721,0.31,Ideal,F,VS2,62.3,57.0,802,4.34,4.3,2.69
8130,0.9,Premium,H,VS2,61.2,61.0,4355,6.18,6.08,3.75
23842,2.1,Fair,G,SI2,65.0,56.0,11923,8.09,7.98,5.21
53468,0.64,Ideal,E,VS1,60.8,56.0,2679,5.61,5.59,3.41
36111,0.42,Premium,E,SI1,59.8,61.0,926,4.89,4.85,2.91
36814,0.3,Ideal,G,IF,63.0,53.0,956,4.3,4.24,2.69
20679,1.23,Premium,F,VS2,60.8,59.0,8959,6.9,6.94,4.21
42402,0.57,Ideal,F,SI2,62.2,53.0,1308,5.34,5.4,3.34
30405,0.32,Ideal,G,VVS2,61.4,55.0,730,4.4,4.43,2.71
8802,1.0,Good,E,SI1,63.8,55.0,4474,6.34,6.31,4.03
31695,0.36,Premium,F,SI1,60.3,58.0,770,4.65,4.6,2.79
46891,0.7,Fair,I,VS2,66.1,56.0,1814,5.53,5.48,3.64
42709,0.57,Very Good,G,SI1,61.9,59.0,1340,5.28,5.31,3.28
7463,0.9,Premium,H,VS1,62.1,59.0,4234,6.14,6.09,3.8
41309,0.57,Premium,I,VS1,61.6,58.0,1212,5.33,5.28,3.27
38152,0.45,Ideal,I,VS2,61.7,59.0,1013,4.96,4.91,3.04
13755,1.0,Good,F,VS2,64.2,58.0,5606,6.32,6.26,4.04
50710,0.56,Ideal,D,VS1,62.5,56.0,2292,5.26,5.3,3.3
29588,0.45,Ideal,E,SI2,61.5,55.0,706,4.92,4.97,3.04
53167,0.7,Very Good,D,SI1,59.4,63.0,2628,5.78,5.76,3.43
36774,0.34,Premium,F,VS1,60.4,58.0,956,4.53,4.51,2.73
48802,0.61,Very Good,E,VS1,59.6,63.0,2025,5.44,5.57,3.28
14795,1.05,Very Good,D,SI1,59.3,59.0,5952,6.63,6.69,3.95
17929,1.01,Premium,E,VS2,58.0,61.0,7240,6.53,6.5,3.94
12294,1.21,Premium,H,SI2,61.9,55.0,5218,6.84,6.79,4.22
3835,1.0,Good,H,SI2,63.7,58.0,3472,6.28,6.15,3.96
38273,0.26,Ideal,I,VS2,62.0,56.0,385,4.13,4.09,2.55
13856,1.0,Premium,G,VS2,62.0,62.0,5645,6.41,6.36,3.96
22271,1.27,Very Good,G,VVS2,61.5,58.0,10321,6.9,6.96,4.26
20003,1.51,Very Good,H,SI1,63.5,55.0,8541,7.31,7.22,4.61
16908,1.5,Premium,J,SI2,61.4,61.0,6750,7.36,7.3,4.5
32691,0.31,Very Good,G,VS1,63.1,59.0,802,4.29,4.27,2.7
34913,0.34,Ideal,F,VS2,61.0,57.0,880,4.5,4.48,2.74
30285,0.34,Premium,F,SI2,60.0,58.0,447,4.55,4.58,2.74
41265,0.31,Ideal,H,VS2,62.1,53.8,502,4.33,4.37,2.7
51031,0.71,Ideal,E,SI1,61.5,57.0,2329,5.78,5.74,3.54
13819,1.12,Good,E,SI1,64.3,57.0,5630,6.56,6.5,4.2
32391,0.4,Very Good,E,VS2,60.4,63.0,791,4.68,4.72,2.84
42397,0.61,Premium,D,SI2,60.8,57.0,1308,5.48,5.4,3.31
29842,0.3,Very Good,D,VS2,62.5,59.0,710,4.23,4.28,2.66
24990,2.09,Very Good,I,SI2,63.1,60.0,13500,8.04,8.12,5.1
5119,1.01,Premium,I,SI2,60.5,61.0,3761,6.47,6.42,3.9
17690,1.19,Premium,G,VS2,62.3,58.0,7130,6.82,6.77,4.23
51138,0.73,Premium,E,SI2,60.1,59.0,2341,5.87,5.82,3.51
31508,0.34,Premium,G,VS2,62.0,59.0,765,4.47,4.43,2.76
9561,1.06,Ideal,H,SI2,60.6,55.0,4622,6.62,6.65,4.02
36302,0.32,Ideal,H,VVS1,62.2,56.0,936,4.38,4.37,2.72
44832,0.51,Premium,E,SI1,61.7,59.0,1624,5.12,5.09,3.15
24286,1.75,Premium,I,VS1,60.6,60.0,12529,7.84,7.8,4.74
44221,0.57,Premium,F,SI1,59.5,58.0,1571,5.43,5.36,3.21
49773,0.5,Premium,F,VVS2,61.8,56.0,2160,5.15,5.11,3.17
37075,0.41,Premium,F,SI1,61.0,60.0,969,4.81,4.77,2.92
53066,0.72,Very Good,E,SI2,63.4,58.0,2608,5.66,5.64,3.58
18024,1.5,Good,H,SI2,64.2,56.0,7291,7.26,7.2,4.64
6646,1.06,Ideal,I,SI2,61.3,56.0,4092,6.55,6.59,4.03
2002,0.93,Ideal,I,SI2,62.3,57.0,3101,6.2,6.22,3.87
47468,0.75,Premium,D,SI2,61.3,59.0,1858,5.88,5.83,3.59
16601,1.01,Very Good,D,SI1,62.1,59.0,6630,6.37,6.41,3.97
38949,0.31,Good,I,VS1,63.8,56.0,489,4.27,4.32,2.74
3171,0.99,Fair,I,SI1,60.7,66.0,3337,6.42,6.34,3.87
32674,0.31,Ideal,G,VS1,62.1,55.0,802,4.37,4.33,2.7
4513,1.02,Fair,F,SI2,66.6,58.0,3633,6.21,6.14,4.11
28792,0.3,Very Good,D,VS1,59.7,58.0,681,4.39,4.32,2.6
5257,0.9,Good,G,VS2,63.9,61.0,3792,6.01,5.97,3.83
45813,0.56,Very Good,F,VS1,62.0,59.0,1712,5.3,5.34,3.3
28199,0.38,Ideal,G,SI1,62.4,57.0,666,4.62,4.65,2.89
2777,0.78,Good,D,SI1,60.1,61.0,3253,5.92,5.89,3.55
51767,0.7,Very Good,D,SI1,61.0,59.0,2409,5.67,5.7,3.47
52755,0.73,Ideal,I,VVS1,61.7,57.0,2561,5.83,5.78,3.58
9760,1.0,Very Good,D,SI2,62.5,58.0,4661,6.35,6.44,4.0
30025,0.3,Ideal,D,VS1,61.6,54.0,718,4.34,4.36,2.68
29670,0.32,Ideal,G,VS1,61.3,55.0,707,4.45,4.43,2.72
34749,0.41,Ideal,H,SI1,62.4,56.0,876,4.78,4.74,2.97
15545,0.9,Ideal,E,VS1,61.7,56.0,6230,6.19,6.22,3.83
49218,1.06,Very Good,G,I1,60.7,63.0,2080,6.59,6.56,3.99
30786,0.33,Very Good,D,VS1,61.6,53.0,742,4.45,4.48,2.75
46390,0.55,Ideal,E,VS1,61.5,57.0,1764,5.23,5.27,3.23
15873,1.26,Premium,I,VS2,61.2,59.0,6350,7.03,6.9,4.26
20995,1.59,Ideal,I,SI1,62.4,58.0,9209,7.43,7.48,4.65
14428,0.91,Very Good,D,VS2,59.6,58.0,5825,6.32,6.34,3.77
37450,0.34,Ideal,G,IF,62.2,56.0,984,4.45,4.46,2.77
28980,0.25,Very Good,F,VS1,62.1,58.0,436,4.0,4.05,2.5
28841,0.41,Ideal,D,SI2,62.7,55.0,683,4.72,4.75,2.97
20927,1.0,Very Good,E,VVS2,59.5,59.0,9139,6.54,6.58,3.9
12393,1.21,Ideal,J,SI1,60.4,54.0,5232,6.86,6.89,4.15
51450,0.55,Premium,F,VS2,62.5,58.0,2376,5.25,5.22,3.27
14405,1.12,Ideal,H,SI1,60.9,57.0,5818,6.7,6.73,4.09
38688,0.37,Ideal,E,VS2,61.6,57.0,1041,4.65,4.61,2.85
11821,1.16,Ideal,E,SI2,62.7,56.0,5093,6.73,6.69,4.21
43461,0.55,Very Good,E,SI1,64.2,55.0,1417,5.18,5.2,3.33
49595,0.71,Ideal,G,SI1,61.4,57.0,2136,5.76,5.8,3.55
7782,1.02,Premium,H,SI2,60.9,59.0,4284,6.51,6.46,3.95
17487,2.01,Good,H,I1,63.9,59.0,7024,8.01,7.92,5.09
30861,0.33,Ideal,G,VS2,62.0,57.0,743,4.47,4.44,2.76
48995,0.7,Fair,H,SI1,65.2,58.0,2048,5.49,5.55,3.6
19466,1.5,Good,D,SI2,63.4,59.0,8108,7.2,7.25,4.58
10830,1.11,Very Good,H,SI1,62.0,55.0,4871,6.61,6.68,4.12
23958,2.02,Very Good,G,SI2,63.1,57.0,12094,8.01,7.97,5.04
25941,2.01,Premium,G,SI1,61.8,59.0,15105,8.15,8.09,5.02
23157,1.23,Very Good,E,VVS2,60.4,62.0,11175,6.88,6.93,4.17
2983,1.0,Very Good,E,I1,63.0,57.0,3300,6.32,6.35,3.99
479,0.75,Ideal,E,SI1,62.0,57.0,2821,5.8,5.78,3.59
43476,0.52,Good,F,VS1,61.0,61.0,1419,5.22,5.17,3.17
45224,0.52,Ideal,E,SI1,60.7,55.0,1656,5.23,5.22,3.18
35056,0.47,Ideal,I,VS2,62.1,53.0,884,4.99,5.02,3.11
22198,1.12,Ideal,F,VVS2,60.4,56.0,10236,6.82,6.78,4.11
27789,0.37,Ideal,E,SI1,62.7,54.0,649,4.55,4.6,2.87
53834,0.72,Ideal,F,SI1,61.7,54.0,2737,5.77,5.8,3.57
26033,0.32,Ideal,F,VS2,61.3,57.0,645,4.37,4.4,2.69
44540,0.51,Very Good,F,VS1,61.4,60.0,1604,5.07,5.13,3.13
26034,0.32,Premium,G,VS1,59.2,59.0,645,4.45,4.47,2.64
24644,1.53,Ideal,D,SI1,61.4,58.0,12981,7.35,7.44,4.54
27522,2.52,Premium,I,SI1,58.5,59.0,18252,8.9,8.87,5.2
47550,0.52,Ideal,F,VS1,62.3,55.0,1872,5.21,5.16,3.23
43434,0.5,Premium,I,VVS1,58.2,62.0,1415,5.25,5.19,3.04
45373,0.5,Good,G,VVS2,64.1,56.0,1666,5.02,5.06,3.23
771,0.9,Fair,G,SI2,64.5,56.0,2858,6.06,6.0,3.89
9959,1.09,Premium,H,SI2,62.0,57.0,4700,6.61,6.55,4.08
19261,1.51,Premium,I,SI1,61.8,60.0,7989,7.23,7.3,4.49
23563,1.02,Ideal,D,VVS2,62.2,59.0,11573,6.41,6.46,4.0
7279,1.0,Premium,H,SI2,62.7,58.0,4200,6.33,6.31,3.96
40296,0.4,Ideal,G,VS1,62.8,56.0,1125,4.7,4.67,2.94
9670,1.02,Ideal,E,SI2,62.0,59.0,4645,6.43,6.4,3.98
19025,0.27,Ideal,F,VVS1,61.0,57.0,620,4.2,4.22,2.57
18532,1.51,Premium,J,VS2,62.8,59.0,7553,7.28,7.2,4.55
28327,0.33,Premium,G,VS1,61.9,58.0,666,4.43,4.46,2.75
32775,0.34,Ideal,D,SI1,62.0,56.0,803,4.5,4.47,2.78
15777,1.01,Very Good,E,VS2,62.3,58.0,6310,6.39,6.45,4.0
37113,0.38,Very Good,G,VVS1,59.9,56.0,970,4.73,4.75,2.84
40428,0.42,Ideal,H,IF,61.0,56.0,1135,4.79,4.82,2.93
40142,0.41,Very Good,E,VVS2,62.2,57.0,1116,4.76,4.79,2.97
17526,1.11,Premium,G,VS2,61.5,58.0,7055,6.69,6.62,4.09
5666,1.0,Premium,F,SI1,59.4,62.0,3881,6.55,6.52,3.88
13861,1.0,Very Good,D,SI1,63.1,56.0,5645,6.34,6.3,3.99
32533,0.35,Ideal,H,VVS1,61.7,56.0,798,4.53,4.55,2.8
22331,1.7,Premium,F,SI2,61.8,60.0,10377,7.64,7.56,4.7
9164,1.02,Ideal,F,SI2,60.7,56.0,4541,6.53,6.5,3.95
23812,1.55,Premium,E,SI1,60.1,58.0,11871,7.55,7.5,4.52
6064,1.01,Very Good,G,SI2,61.8,58.0,3966,6.36,6.39,3.94
572,0.7,Ideal,D,VS2,61.0,57.0,2833,5.74,5.76,3.51
30301,0.3,Premium,G,VS1,62.0,60.0,725,4.31,4.27,2.66
44292,0.52,Premium,G,VS2,62.4,56.0,1577,5.19,5.16,3.23
42130,0.58,Ideal,F,SI2,61.8,56.0,1279,5.42,5.39,3.34
28095,0.31,Premium,F,SI1,60.5,60.0,663,4.39,4.37,2.65
13950,1.14,Ideal,G,SI2,61.5,55.0,5675,6.78,6.71,4.15
28810,0.3,Good,F,VVS1,61.1,61.0,682,4.29,4.32,2.63
48202,0.53,Ideal,G,VVS2,61.4,57.0,1948,5.19,5.26,3.21
11458,1.14,Premium,I,VS2,62.8,60.0,5008,6.68,6.59,4.17
34946,0.3,Good,H,SI2,63.9,57.0,378,4.24,4.27,2.72
2422,0.91,Very Good,J,SI2,62.0,56.0,3181,6.18,6.23,3.85
27679,2.02,Ideal,G,VS2,62.0,57.0,18700,8.1,8.05,5.01
12644,1.01,Very Good,G,VS2,63.1,55.0,5294,6.38,6.36,4.02
53383,0.71,Very Good,F,VS2,62.2,56.0,2662,5.7,5.72,3.55
11964,1.0,Very Good,H,VS2,63.3,53.0,5139,0.0,0.0,0.0
32124,0.47,Ideal,G,SI2,62.4,55.0,784,4.96,5.01,3.11
4713,0.31,Good,D,SI1,63.5,55.0,571,4.27,4.3,2.72
22573,1.52,Fair,G,VS2,55.2,66.0,10623,7.72,7.67,4.26
31367,0.33,Ideal,F,VVS2,61.7,55.0,761,4.46,4.49,2.76
41929,0.4,Ideal,F,VVS1,61.3,56.0,1263,4.73,4.76,2.91
1512,0.81,Premium,G,VS2,62.0,58.0,2994,5.95,5.92,3.68
13687,1.01,Ideal,E,SI1,62.4,56.0,5599,6.43,6.39,4.0
44411,0.56,Premium,H,VS1,60.1,58.0,1585,5.4,5.35,3.23
42506,0.51,Ideal,G,SI1,61.9,56.0,1321,5.11,5.17,3.17
38641,0.42,Premium,E,VS1,62.3,57.0,1040,4.83,4.8,3.0
31461,0.4,Good,I,SI1,63.9,57.0,765,4.7,4.66,2.99
41108,0.59,Ideal,F,SI2,61.7,54.0,1195,5.4,5.46,3.35
31154,0.41,Premium,E,SI1,61.0,59.0,755,4.78,4.82,2.93
7310,0.91,Good,H,VVS2,65.5,57.0,4205,6.01,6.11,3.97
24846,2.17,Premium,H,SI1,62.3,58.0,13248,8.29,8.25,5.15
45055,0.63,Ideal,H,VS2,62.1,54.0,1641,5.51,5.54,3.43
39677,0.41,Ideal,E,VS2,62.2,56.0,1087,4.8,4.75,2.97
29890,0.3,Very Good,D,VS2,62.0,58.0,710,4.29,4.32,2.67
45395,0.63,Premium,I,VS1,62.0,58.0,1667,5.52,5.45,3.4
7201,1.0,Premium,G,SI1,60.0,62.0,4189,6.48,6.45,3.88
20737,1.36,Ideal,G,SI1,60.9,56.0,8977,7.15,7.16,4.36
20568,1.51,Premium,E,SI2,58.8,62.0,8879,7.5,7.41,4.39
53375,0.73,Ideal,G,SI1,60.7,56.0,2659,5.89,5.81,3.55
11372,0.34,Ideal,E,SI1,62.2,55.0,596,4.45,4.49,2.78
51908,0.7,Good,E,SI2,63.7,55.0,2435,5.63,5.58,3.57
32232,0.31,Ideal,G,VVS1,62.0,53.0,789,4.35,4.39,2.71
27660,2.03,Very Good,G,SI1,60.1,60.0,18630,8.09,8.18,4.89
11817,1.17,Ideal,I,SI1,60.0,59.0,5092,6.82,6.87,4.11
841,0.72,Ideal,I,VS1,62.4,55.0,2868,5.72,5.75,3.58
44834,0.51,Good,E,SI1,64.3,55.0,1624,5.12,5.05,3.27
17134,1.1,Ideal,G,SI1,61.6,56.0,6837,6.62,6.65,4.08
49381,0.66,Good,G,VS2,58.1,59.9,2101,5.68,5.72,3.31
47150,0.71,Fair,H,VS2,62.1,70.0,1832,5.67,5.6,3.5
1897,0.71,Fair,D,VS2,64.7,58.0,3077,5.61,5.58,3.62
47372,0.54,Ideal,E,VS2,61.8,55.0,1847,5.26,5.24,3.24
44552,0.55,Ideal,G,SI1,61.3,56.0,1605,5.26,5.31,3.24
13396,0.32,Ideal,G,VS1,61.9,55.0,602,4.4,4.42,2.73
29406,0.33,Ideal,G,VS1,61.6,57.0,699,4.46,4.49,2.75
23727,0.25,Very Good,F,IF,61.1,54.0,633,4.08,4.11,2.5
39475,0.41,Ideal,E,VS1,62.1,55.0,1079,4.77,4.8,2.97
13676,1.21,Good,G,SI1,63.8,58.0,5597,6.75,6.64,4.27
35349,0.38,Premium,E,SI1,61.2,59.0,898,4.67,4.64,2.85
16316,1.31,Premium,H,SI2,60.8,58.0,6529,7.13,7.08,4.32
34634,0.31,Premium,E,VS2,60.3,58.0,872,4.42,4.37,2.65
17154,1.03,Very Good,D,VS1,59.6,61.0,6848,6.57,6.62,3.93
24349,2.02,Good,F,SI2,57.1,60.0,12615,8.31,8.25,4.73
19587,1.51,Very Good,I,SI1,62.8,59.0,8214,7.17,7.26,4.53
42319,0.41,Ideal,F,VVS1,62.3,53.0,1295,4.77,4.8,2.98
45968,0.35,Very Good,J,SI1,63.3,56.0,526,4.53,4.5,2.86
53022,0.73,Premium,F,SI1,61.2,60.0,2599,5.78,5.73,3.52
31518,0.34,Ideal,E,SI1,61.4,55.0,765,4.54,4.48,2.77
14893,1.22,Premium,H,SI1,62.4,58.0,5997,6.82,6.77,4.24
46897,0.56,Ideal,F,VS2,61.3,54.0,1814,5.37,5.34,3.28
43961,0.34,Ideal,H,VS2,61.8,55.0,517,4.49,4.51,2.78
5806,1.02,Good,D,SI2,63.8,59.0,3909,6.43,6.33,4.07
13501,0.9,Ideal,G,VS1,62.1,56.0,5540,6.15,6.19,3.83
